"Y","X0","X1","X2","X3","X4","X5","X6","X7"
-530.63758370203,1,13.4098064360365,-7.03177373510743,8.65170244503636,0.655697713827557,141,307.590653945587,-5.04803681939539
-475.165143964963,1,8.5759228701365,-3.58057181869385,8.6758925899481,1.02617045771331,123,263.613613148002,-7.14256354115642
-213.183162402866,1,9.44403017241969,-3.78843478026799,-1.47237204656124,0.209546408466014,112,238.915416771058,6.09269968231504
-201.181160738749,1,9.76070195577949,-2.23461490227549,-3.69287945597913,2.30544250822606,107,231.003135023391,5.13095798748843
-352.382054572952,1,9.7520787648128,-7.93969551219091,2.68104604735688,1.03527612891048,115,245.67054221504,0.170142026633822
-456.98771528122,1,10.5363675411725,-3.30246768793827,6.4004799228698,1.58950204207542,131,284.241281996395,-4.824716586045
-271.373764487997,1,11.4536829773693,-2.80760996262554,0.394601428174432,0.0914990691724494,103,229.206991637179,1.86791828802802
-292.082427700855,1,10.4662708264785,-3.85810080481791,0.534795112133146,1.8887981250042,128,272.062329811335,4.30897412325159
-356.097892447224,1,10.6782277509771,-1.52859162063091,2.82459790417379,3.04313158972149,127,275.194579427231,0.573241242620834
-357.222674861454,1,8.89617066767197,-1.96160488882318,2.69555397503213,3.25462785170105,128,272.963657548984,-0.416066911319261
-208.149811987955,1,10.6954027136052,-3.62508206608397,-2.95241672639346,1.54549286878648,116,247.951217589653,7.23622878175959
-240.553419202605,1,12.9691836103314,-4.0728980322973,-2.36649222271909,0.616197776049376,117,251.770509620396,5.90020535689679
-492.251065061426,1,10.3766510418321,-5.40396767254639,8.60204210638843,4.6548299451632,128,267.597406097886,-6.22748684743281
-321.598476713469,1,14.8865196475781,-5.06371013515861,0.758147858335012,0.624413815326989,106,244.033379929653,1.65574186782665
-335.844994701539,1,7.69312102933371,-4.61445262312108,3.35411833243365,1.5413894317204,111,235.138950352832,-1.2203475238271
-155.286069498498,1,8.39065663157271,-2.9649357895045,-5.22757327468513,0.989499139599502,118,249.538002442424,9.15246956892851
-446.334654862979,1,10.9121382953569,-5.79838374110336,7.84598378579754,2.77667588351255,117,253.832367998231,-3.68834173492276
-346.531211685273,1,10.8406651402688,-0.742648167043798,3.51055744891518,3.31498088092581,119,255.90678252336,-0.53215652531334
-357.533252679224,1,11.1551689963697,-6.31539860622874,1.3959086599792,1.52671824948915,130,281.536341965848,1.82053625169344
-335.962848567072,1,10.892712119923,-3.38398452381915,0.101851138094581,1.14648780878633,139,299.452856926895,2.5505702842275
-164.832149525046,1,11.8345110570604,-3.38280599475477,-7.85988021112758,0.439143598560221,126,274.463982397893,9.41307166514925
